dBZ / RGBA,Black and White,Original,Universal Blue,Titan,The Weather Channel (TWC),Meteored,NEXRAD Level III,Rainbow @ Selex SI,Dark Sky,Datameteo Valerio,Viper HD
-32,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000
-31,#010101ff,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000
-30,#020202ff,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000
-29,#030303ff,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000
-28,#040404ff,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000
-27,#050505ff,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000
-26,#060606ff,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000
-25,#070707ff,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000
-24,#080808ff,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000
-23,#090909ff,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000
-22,#0a0a0aff,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000
-21,#0b0b0bff,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000
-20,#0c0c0cff,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000
-19,#0d0d0dff,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000
-18,#0e0e0eff,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000
-17,#0f0f0fff,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000
-16,#101010ff,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000
-15,#111111ff,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000
-14,#121212ff,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000
-13,#131313ff,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000
-12,#141414ff,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000
-11,#151515ff,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000
-10,#161616ff,#00000000,#63615911,#353535ff,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000
-9,#171717ff,#00000000,#6361591b,#353535ff,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000
-8,#181818ff,#00000000,#63615925,#353535ff,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000
-7,#191919ff,#00000000,#6361592f,#353535ff,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000
-6,#1a1a1aff,#00000000,#63615939,#353535ff,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000
-5,#1b1b1bff,#00000000,#79746044,#757575ff,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000
-4,#1c1c1cff,#00000000,#79746051,#757575ff,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000
-3,#1d1d1dff,#00000000,#7974605f,#757575ff,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000
-2,#1e1e1eff,#00000000,#7974606c,#757575ff,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000
-1,#1f1f1fff,#00000000,#7974607a,#757575ff,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000
0,#202020ff,#00000000,#92887188,#005a00ff,#00000000,#00000000,#04e9e7ff,#00000000,#005eb611,#00000000,#01f3f7ff
1,#212121ff,#00000000,#92887195,#005a00ff,#00000000,#00000000,#04e9e7ff,#00000000,#005eb614,#00000000,#05dbe7ff
2,#222222ff,#00000000,#928871a3,#005a00ff,#00000000,#00000000,#04e9e7ff,#00000000,#005eb617,#00000000,#09c3d7ff
3,#232323ff,#00000000,#928871b0,#005a00ff,#00000000,#00000000,#04e9e7ff,#00000000,#005eb61b,#00000000,#0dabc7ff
4,#242424ff,#00000000,#928871be,#005a00ff,#00000000,#00000000,#04e9e7ff,#00000000,#005eb61e,#00000000,#1193b7ff
5,#252525ff,#00000000,#cec087cc,#007e00ff,#00000000,#00000000,#00efe7ff,#00000000,#005eb622,#00000000,#157ba7ff
6,#262626ff,#00000000,#cec087d6,#007e00ff,#00000000,#00000000,#00efe7ff,#00000000,#005eb625,#00000000,#1572a3ff
7,#272727ff,#00000000,#cec087e0,#007e00ff,#00000000,#00000000,#00efe7ff,#00000000,#005eb628,#00000000,#1378adff
8,#282828ff,#00000000,#cec087ea,#007e00ff,#00000000,#00000000,#00efe7ff,#00000000,#005eb62c,#00000000,#117eb6ff
9,#292929ff,#00000000,#cec087f4,#007e00ff,#00000000,#00000000,#00efe7ff,#00000000,#005eb62f,#00000000,#0f84c0ff
10,#2a2a2aff,#dfdfdfff,#88ddeeff,#087fdbff,#01b714ff,#3ffefcff,#009cf7ff,#009f9fff,#005eb633,#23ded8ff,#0c89c9ff
11,#2b2b2bff,#dfdfdfff,#88ddeeff,#087fdbff,#01b614ff,#3ffefcff,#009cf7ff,#009e9eff,#005eb639,#23ded8ff,#0a8fd3ff
12,#2c2c2cff,#dfdfdfff,#88ddeeff,#087fdbff,#01b414ff,#3ffefcff,#009cf7ff,#009d99ff,#005eb640,#23ded8ff,#0895dcff
13,#2d2d2dff,#dfdfdfff,#88ddeeff,#087fdbff,#02ad14ff,#3ffefcff,#009cf7ff,#009a8cff,#005eb647,#23ded8ff,#069be6ff
14,#2e2e2eff,#dfdfdfff,#88ddeeff,#087fdbff,#049f14ff,#3ffefcff,#009cf7ff,#009573ff,#005eb64e,#23ded8ff,#15bfb4ff
15,#2f2f2fff,#9bea8fff,#0099ccff,#1c47e8ff,#088915ff,#1790f9ff,#0000f7ff,#008c4bff,#005eb655,#1cb5b0ff,#24dd79ff
16,#303030ff,#9bea8fff,#0099ccff,#1c47e8ff,#088815ff,#1790f9ff,#0000f7ff,#008c4aff,#005eb662,#1cb5b0ff,#22d673ff
17,#313131ff,#9bea8fff,#0099ccff,#1c47e8ff,#088615ff,#1790f9ff,#0000f7ff,#009047ff,#005eb670,#1cb5b0ff,#20cf6cff
18,#323232ff,#9bea8fff,#0099ccff,#1c47e8ff,#098116ff,#1790f9ff,#0000f7ff,#009b40ff,#005eb67d,#1cb5b0ff,#1ec866ff
19,#333333ff,#9bea8fff,#0099ccff,#1c47e8ff,#0c7617ff,#1790f9ff,#0000f7ff,#00b031ff,#005eb68b,#1cb5b0ff,#1cc260ff
20,#343434ff,#58ff42ff,#0077aaff,#6e0dc6ff,#11651aff,#0000f3ff,#00ff00ff,#00d319ff,#005eb699,#5b42b3ff,#1abb5aff
21,#353535ff,#58ff42ff,#0077aaff,#6e0dc6ff,#106419ff,#0000f3ff,#00ff00ff,#00d319ff,#075cb4a6,#5b42b3ff,#18b454ff
22,#363636ff,#58ff42ff,#0077aaff,#6e0dc6ff,#106218ff,#0000f3ff,#00ff00ff,#02d519ff,#0e5bb3b4,#5b42b3ff,#17ae4dff
23,#373737ff,#58ff42ff,#0077aaff,#6e0dc6ff,#0e5d15ff,#0000f3ff,#00ff00ff,#07dc1aff,#155ab1c1,#5b42b3ff,#15a747ff
24,#383838ff,#58ff42ff,#0077aaff,#6e0dc6ff,#0b5310ff,#0000f3ff,#00ff00ff,#10e81dff,#1c59b0cf,#5b42b3ff,#13a041ff
25,#393939ff,#47c278ff,#005588ff,#c80f86ff,#064307ff,#41ff50ff,#03b703ff,#21fd22ff,#2458afdd,#402f7dff,#119a3bff
26,#3a3a3aff,#47c278ff,#005588ff,#c80f86ff,#074407ff,#41ff50ff,#03b703ff,#22fd21ff,#3955abe3,#402f7dff,#0f9335ff
27,#3b3b3bff,#47c278ff,#005588ff,#c80f86ff,#154d07ff,#41ff50ff,#03b703ff,#2ffd21ff,#4e52a7ea,#402f7dff,#0e8c2eff
28,#3c3c3cff,#47c278ff,#005588ff,#c80f86ff,#3b6707ff,#41ff50ff,#03b703ff,#50fd20ff,#6350a3f1,#402f7dff,#0c8528ff
29,#3d3d3dff,#47c278ff,#005588ff,#c80f86ff,#859a07ff,#41ff50ff,#03b703ff,#92fd1eff,#784d9ff8,#402f7dff,#0a7f22ff
30,#3e3e3eff,#4793f9ff,#ffee00ff,#c06487ff,#ffee07ff,#32c23dff,#087305ff,#fffd1bff,#8e4b9bff,#008080ff,#08781bff
31,#3f3f3fff,#4793f9ff,#ffee00ff,#c06487ff,#feed07ff,#32c23dff,#087305ff,#fffc1aff,#a44c92ff,#008080ff,#067115ff
32,#404040ff,#4793f9ff,#ffee00ff,#c06487ff,#feea07ff,#32c23dff,#087305ff,#fffa19ff,#ba4e89ff,#008080ff,#046b0fff
33,#414141ff,#4793f9ff,#ffee00ff,#c06487ff,#fde207ff,#32c23dff,#087305ff,#fff415ff,#d04f81ff,#008080ff,#026409ff
34,#424242ff,#4793f9ff,#ffee00ff,#c06487ff,#fbd307ff,#32c23dff,#087305ff,#ffe80dff,#e65178ff,#008080ff,#80af13ff
35,#434343ff,#0c59ffff,#ffaa00ff,#d2883bff,#f8bb08ff,#4b8339ff,#ffff00ff,#ffd400ff,#fc5370ff,#00a000ff,#fff71cff
36,#444444ff,#0c59ffff,#ffaa00ff,#d2883bff,#f7ba08ff,#4b8339ff,#ffff00ff,#ffd300ff,#fc676fff,#00a000ff,#ffe712ff
37,#454545ff,#0c59ffff,#ffaa00ff,#d2883bff,#f7b708ff,#4b8339ff,#ffff00ff,#ffd100ff,#fd7b6fff,#00a000ff,#ffd709ff
38,#464646ff,#0c59ffff,#ffaa00ff,#d2883bff,#f6b008ff,#4b8339ff,#ffff00ff,#ffcb00ff,#fd8f6eff,#00a000ff,#ffc700ff
39,#474747ff,#0c59ffff,#ffaa00ff,#d2883bff,#f5a208ff,#4b8339ff,#ffff00ff,#ffbf00ff,#fea36eff,#00a000ff,#ffb700ff
40,#484848ff,#6153c1ff,#ff7700ff,#fac431ff,#f38b08ff,#ffff50ff,#ecce00ff,#ffab00ff,#ffb76eff,#00ff00ff,#ff9d00ff
41,#494949ff,#6153c1ff,#ff7700ff,#fac431ff,#f28a08ff,#ffff50ff,#ecce00ff,#ffaa00ff,#ffc559ff,#00ff00ff,#ff7a00ff
42,#4a4a4aff,#6153c1ff,#ff7700ff,#fac431ff,#f28908ff,#ffff50ff,#ecce00ff,#ffa700ff,#ffd344ff,#00ff00ff,#ff5700ff
43,#4b4b4bff,#6153c1ff,#ff7700ff,#fac431ff,#f28508ff,#ffff50ff,#ecce00ff,#ff9d00ff,#ffe12eff,#00ff00ff,#ff3400ff
44,#4c4c4cff,#6153c1ff,#ff7700ff,#fac431ff,#f17d08ff,#ffff50ff,#ecce00ff,#ff8b00ff,#ffef19ff,#00ff00ff,#ff1100ff
45,#4d4d4dff,#ff93a3ff,#ff4400ff,#fefb02ff,#f07108ff,#fdbb3cff,#fe9300ff,#ff6e00ff,#fffd05ff,#ffff00ff,#f90000ff
